Nro.,Vehículo,Odómetro,Horómetro,Fecha,Tanqueo Full,Costo por Volumen,Cant.,Unidad,Costo Total,Tipo,
72,"101",1051655,,"14/abr./2024 16:46:00","S","25,19","396,94","Litros","9999","DIESEL",
71,"102",1003616,,"14/abr./2024 3:54:00","S","25,22","132,19","Litros","3333,91","DIESEL",
70,"102",1003193,,"13/abr./2024 14:26:00","S","23,29","98,11","Litros","2284,87","DIESEL",
69,"102",1002683,,"12/abr./2024 21:56:00","S","25,03","99,13","Litros","2481,1","DIESEL",
68,"109",534734,,"12/abr./2024 18:37:00","S","24,99","35","Litros","874,65","DIESEL",
67,"109",534734,,"12/abr./2024 18:30:00","S","24,99","400","Litros","9996","DIESEL",
66,"105",471851,,"12/abr./2024 16:28:00","S","24,99","120,19","Litros","3003,55","DIESEL",
51,"102",1002212,,"12/abr./2024 7:02:00","S","24,99","114,9","Litros","2871,35","DIESEL",
50,"104",1008472,,"12/abr./2024 2:31:00","S","24,99","160","Litros","3998,4","DIESEL",
49,"106",438778,,"11/abr./2024 15:28:00","S","25,39","113,24","Litros","2875,21","DIESEL",
48,"101",1050625,,"11/abr./2024 14:13:00","S","24,99","239,73","Litros","5990,85","DIESEL",
47,"101",1050625,,"11/abr./2024 14:06:00","S","24,99","400","Litros","9996","DIESEL",
59,"105",471391,04,,"11/abr./2024 2:39:25","S","25,15","119,28","Litros","3000","DIESEL",
46,"110",562265,,"11/abr./2024 0:39:00","S","25,29","60,02","Litros","1517,83","DIESEL",
45,"110",562265,,"11/abr./2024 0:33:00","S","25,29","395,37","Litros","9999","DIESEL",
44,"104",1008070,,"10/abr./2024 20:11:00","S","25,39","160","Litros","4062,4","DIESEL",
43,"109",533898,,"10/abr./2024 20:10:00","S","25,19","75,02","Litros","1889,75","DIESEL",
42,"109",533898,,"10/abr./2024 20:01:00","S","25,19","396,94","Litros","9999","DIESEL",
65,"106",438416,11,,"10/abr./2024 19:16:00","S","26,84","111,77","Litros","3000","DIESEL",
64,"106",437973,77,,"10/abr./2024 14:07:00","S","23,39","136,81","Litros","3200","DIESEL",
22,"105",470839,,"10/abr./2024 10:41:00","S","23,29","130","Litros","3027,7","DIESEL",
16,"103",752745,,"10/abr./2024 10:15:00","S","24,99","123,84","Litros","3094,76","DIESEL",
12,"107",1088959,,"10/abr./2024 3:58:00","S","25,79","149,45","Litros","3854,21","DIESEL",
63,"106",437530,86,,"10/abr./2024 0:51:00","S","26,37","106,94","Litros","2820","DIESEL",
58,"105",470370,72,,"10/abr./2024 0:32:05","S","25,15","87,48","Litros","2200","DIESEL",
57,"104",1007694,4,,"09/abr./2024 23:07:45","N","25,49","58,85","Litros","1500","DIESEL",
